region,year,n,hhsize,age_mean,age_sd,lit_mean,lit_sd,wel_mean,wel_sd
,2018,1277,359,23.0651918559123,19.75402493168325,1.682850430696946,.6288233678267435,1924.012,2232.8665
,2021,176,48,22.67045454545455,18.55507421760364,1.852272727272727,.605494324187582,1304.7285,866.47418
BOUCLE DU MOUHOUN,2018,2095,563,20.87303102625298,17.56565289234577,1.64582338902148,.6383183474045099,1603.7727,1308.7701
BOUCLE DU MOUHOUN,2021,2207,588,22.29451744449479,18.9067061507557,1.704123244222927,.6485189481778949,1421.7893,1182.0895
CASCADES,2018,1592,442,22.0450167503938,18.01076062729006,1.655150753768844,.628106491619066,2161.0049,1746.7463
CASCADES,2021,2036,528,22.05058939096267,18.6431086040914,1.719548133595285,.63045632406361,1612.109,1185.4663
CENTRE,2018,2335,780,25.44140959715578,19.25745696804885,1.475374732334047,.6245251999807202,3432.8555,3389.9238
CENTRE,2021,2332,765,23.63164665523156,18.4841066433508,1.585334476843911,.6825704185501466,3315.2512,2890.9177
CENTRE-EST,2018,2061,564,22.29415332332565,19.34467268545631,1.767588549247938,.6032577075297552,1250.7509,1187.9258
CENTRE-EST,2021,2056,660,22.21352140077821,18.93422170012072,1.732976653696498,.6470611770545964,1852.6117,1355.8029
CENTRE-NORD,2018,1980,480,20.8014730640132,18.53079873047433,1.795959595959596,.5937044131134738,1260.9999,1156.1581
CENTRE-NORD,2021,1943,527,21.80442614513639,18.97447580834361,1.714873906330417,.6670253625212961,1656.5317,1201.2706
CENTRE-OUEST,2018,1660,504,22.57951807228916,19.42073274948963,1.69578313253012,.6198302680071848,1561.9189,1471.473
CENTRE-OUEST,2021,1905,576,22.95170603674541,18.83845461683402,1.63989501312336,.6445342184243353,1883.9077,1510.6342
CENTRE-SUD,2018,1340,443,24.14402985074627,20.75870840843096,1.654477611940298,.6177745203347913,1884.1898,1947.08
CENTRE-SUD,2021,1534,480,23.66753585397653,20.52981290854121,1.696219035202086,.6593390859566667,1850.115,1699.1001
EST,2018,1374,396,20.30640465793304,18.06885760577354,1.744541484716157,.6371218862874113,1934.191,1840.3997
EST,2021,1813,477,20.94429123000551,18.12873046658673,1.725868725868726,.6341795018716981,1610.6401,1411.7456
HAUTS-BASSINS,2018,2806,719,22.05185317177477,18.33693082866253,1.702066999287242,.6178936133628713,1596.8187,1436.3916
HAUTS-BASSINS,2021,2634,720,22.2619589977221,17.61075578850314,1.651100987091876,.6644238848798866,1897.4722,1368.187
NORD,2018,1383,370,22.35333815404495,19.35126507324655,1.744034707158352,.6118631166109988,1256.8024,1022.5856
NORD,2021,2049,479,23.21473889702294,20.60647267856859,1.727672035139092,.6502857678640425,1328.6077,1001.7513
PLATEAU CENTRAL,2018,1536,431,24.46912977409859,21.60324408077209,1.71484375,.630960986988084,1820.6038,1692.0115
PLATEAU CENTRAL,2021,1403,384,23.04989308624376,20.75872721759924,1.73984319315752,.6520256844831741,1723.9167,1591.5934
SAHEL,2018,1491,456,21.37357478202549,17.97542914416942,1.818242790073776,.5883338983202805,1841.574,1604.5044
SAHEL,2021,1676,440,20.65334128878282,17.9905711836976,1.894391408114559,.6016431625693367,1463.3114,1433.1964
SUD-OUEST,2018,1679,503,22.67401230885487,18.75029918036445,1.677784395473496,.6179097748375439,1922.9625,1543.6027
SUD-OUEST,2021,1623,504,22.85767097966728,18.58409954382207,1.768330252618608,.6431332131294494,2087.439,1886.3868
